drug_id,description,administrative_status,approved_for_hospital_use,reimbursement_rate,marketing_declaration_date,marketing_authorization_date,marketing_authorization_process,pharmaceutical_companies,price
1865_train,plaquette(s) thermoformée(s) PVC aluminium de 30 comprimé(s),Présentation active,non,65%,20070101,19980101,Procédure nationale, LABORATOIRES ALTER,2.85
1866_train,plaquette(s) thermoformée(s) PVC-Aluminium de 90 gélule(s),Présentation active,oui,65%,20110101,20000101,Procédure nationale, CRISTERS,19.8
1867_train,plaquette(s) aluminium polyamide PVC-Aluminium de 14 comprimé(s),Présentation active,oui,65%,20120101,20090101,Procédure décentralisée, RANBAXY PHARMACIE GENERIQUES,3.49
1868_train,plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s),Présentation active,oui,65%,20060101,20060101,Procédure nationale, MYLAN SAS,5.47
1869_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s),Présentation active,oui,65%,19980101,19970101,Procédure de reconnaissance mutuelle, PFIZER HOLDING FRANCE,13.0
1870_train,1 pot(s) polypropylène de 150 g,Présentation active,oui,30%,19970101,19950101,Procédure nationale, BIOCODEX,4.04
1871_train,plaquette(s) thermoformée(s) polyamide aluminium PVC de 30 comprimé(s),Présentation active,oui,65%,20100101,20090101,Procédure centralisée, BOEHRINGER INGELHEIM INTERNATIONAL,10.27
1872_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20100101,20090101,Procédure nationale, SANOFI AVENTIS FRANCE,3.49
1873_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 6 comprimé(s),Présentation active,oui,65%,20110101,20110101,Procédure nationale, BIOGARAN,46.23
1874_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s),Présentation active,non,65%,20140101,20040101,Procédure nationale, RATIOPHARM (ALLEMAGNE),23.71
1875_train,plaquette(s) thermoformée(s) (ACLAR RX) polytrifluorochloroéthylène PVC-Aluminium de 30 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure décentralisée, MYLAN SAS,6.36
1876_train,"1 flacon(s) en verre - ampoule(s) en verre de 15,6 ml",Présentation active,oui,65%,20080101,19910101,Procédure nationale, PFIZER HOLDING FRANCE,13.0
1877_train,plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s),Présentation active,oui,65%,20040101,20040101,Procédure nationale, SANDOZ,3.11
1878_train,plaquette(s) thermoformée(s) PVC-Aluminium de 15  comprimé(s),Présentation active,oui,30%,19880101,19870101,Procédure nationale, SANOFI AVENTIS FRANCE,2.69
1879_train,plaquette(s) thermoformée(s) PVC-Aluminium polyamide aluminium de 28 comprimé(s),Présentation active,oui,65%,20150101,20110101,Procédure nationale, TEVA SANTE,8.14
1880_train,plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s),Présentation active,oui,65%,20000101,20000101,Procédure de reconnaissance mutuelle, MEDA PHARMA (FRANCE),2.54
1881_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s),Présentation active,oui,65%,20060101,20040101,Procédure nationale, TEVA SANTE,5.91
1882_train,"10 seringue(s) préremplie(s) en verre de 0,3 ml avec aiguille(s) acier avec système de sécurité Needle-Trap",Présentation active,oui,65%,20100101,20100101,Procédure nationale, PFIZER HOLDING FRANCE,61.72
1883_train,1 flacon(s) en verre brun de 150 ml avec cuillère-mesure polystyrène,Présentation active,oui,65%,19490101,19970101,Procédure nationale, SANOFI AVENTIS FRANCE,8.06
1884_train,plaquette(s) PVC-Aluminium de 20 comprimé(s),Présentation active,oui,65%,20130101,20120101,Procédure nationale, TEVA SANTE,7.82
1885_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,non,65%,20150101,20110101,Procédure décentralisée, ABDI FARMA (PORTUGAL),6.36
1886_train,plaquette(s) thermoformée(s) PVC-aluminium de 16 comprimé(s),Présentation active,oui,65%,19980101,19920101,Procédure nationale, MYLAN SAS,1.08
1887_train,plaquette(s) thermoformée(s) PVC-Aluminium de 30  gélule(s),Présentation active,oui,65%,20030101,19970101,Procédure nationale, TEVA SANTE,5.41
1888_train,flacon(s) polyéthylène haute densité (PEHD) de 28 gélule(s),Présentation active,non,65%,20150101,20050101,Procédure nationale, RANBAXY PHARMACIE GENERIQUES,7.21
1889_train,plaquette(s) PVC polyéthylène PVDC aluminium de 28 gélule(s),Présentation active,oui,15%,20130101,20130101,Procédure décentralisée, EG LABO - LABORATOIRES EUROGENERICS,30.28
1890_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 15 comprimé(s),Présentation active,oui,30%,20110101,20110101,Procédure nationale, BIOGARAN,2.12
1891_train,plaquette(s) thermoformée(s) PVDC PVC aluminium ou aluminium-ACLAR de 30 comprimé(s),Présentation active,oui,65%,20110101,19990101,Procédure de reconnaissance mutuelle, MENARINI INTERNATIONAL OPERATIONS LUXEMBOURG,9.62
1892_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 gélule(s),Présentation active,oui,65%,20130101,20120101,Autorisation d'importation parallèle, BB FARMA (ITALIE),29.4
1893_train,1 tube(s) aluminium de 10 g,Présentation active,oui,15%,20040101,20040101,Procédure nationale, ZYDUS FRANCE,6.4
1894_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20130101,20070101,Procédure centralisée, SANOFI-AVENTIS GROUPE,6.36
1895_train,plaquette(s) thermoformée(s) PVC-aluminium de 28  comprimé(s),Présentation active,oui,65%,19970101,19920101,Procédure nationale, RANBAXY PHARMACIE GENERIQUES,4.72
1896_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20110101,20090101,Procédure décentralisée, TEVA SANTE,6.36
1897_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,oui,65%,20110101,20070101,Procédure de reconnaissance mutuelle, TEVA SANTE,11.83
1898_train,1 ampoule(s) en verre de 1 ml,Présentation active,oui,65%,20120101,19840101,Procédure nationale, PANPHARMA,0.81
1899_train,plaquette(s) thermoformée(s) PVC aluminium de 30 comprimé(s),Présentation active,non,65%,20120101,19980101,Procédure nationale, EG LABO - LABORATOIRES EUROGENERICS,1.6
1900_train,plaquette(s) thermoformée(s) PVC aluminium polyamide de 30 comprimé(s),Présentation active,oui,65%,20100101,20080101,Procédure nationale, TEVA SANTE,6.36
1901_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 7 gélule(s),Présentation active,oui,65%,20110101,20100101,Procédure de reconnaissance mutuelle, BIOGARAN,1.66
1902_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 56 comprimé(s),Présentation active,oui,65%,20080101,20080101,Procédure centralisée, UCB PHARMA BELGIQUE,86.8
1903_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,non,100%,20130101,20080101,Procédure nationale, SANDOZ,53.92
1904_train,plaquette(s) thermoformée(s) PVC-Aluminium de 30 gélule(s),Présentation active,non,65%,20150101,20110101,Procédure de reconnaissance mutuelle, SANDOZ,35.1
1905_train,plaquette(s) thermoformée(s) PVC-aluminium PVDC de 30 comprimé(s),Présentation active,oui,65%,19990101,19980101,Procédure nationale, MYLAN SAS,3.08
1906_train,plaquette(s) thermoformée(s) aluminium PVC PVDC de 25 gélule(s),Présentation active,oui,100%,20010101,19790101,Procédure nationale, PROSTRAKAN PHARMA,20.2
1907_train,"36 récipient(s) unidose(s) polyéthylène de 0,4 ml",Présentation active,oui,30%,20020101,19910101,Procédure nationale, THEA,4.02
1908_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s),Présentation active,oui,65%,20110101,20090101,Procédure nationale, CRISTERS,17.14
1909_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20070101,20070101,Procédure nationale, BIOGARAN,29.09
1910_train,plaquette(s) polychlortrifluoroéthylène PVC aluminium de 28 comprimé(s),Présentation active,oui,65%,20050101,20030101,Procédure de reconnaissance mutuelle, MERCK SHARP & DOHME (GRANDE BRETAGNE),40.19
1911_train,plaquette(s) thermoformée(s) aluminium de 90 comprimé(s) (distributeur parallèle : BB Farma),Présentation active,oui,65%,20130101,19980101,Procédure centralisée, NOVO NORDISK (DANEMARK),11.58
1912_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 28 comprimé(s),Présentation active,oui,65%,20120101,20050101,Procédure de reconnaissance mutuelle, EVOLUPHARM,5.2
1913_train,1 ampoule(s) en verre de 1 ml,Présentation active,oui,65%,19850101,19830101,Procédure nationale, LUNDBECK SAS,6.59
1914_train,plaquette(s) thermoformée(s) PVC-Aluminium de 7 comprimé(s),Présentation active,oui,65%,20100101,20080101,Procédure nationale, TEVA SANTE,2.27
1915_train,1 tube(s) aluminium verni de 10 g,Présentation active,oui,65%,19640101,19970101,Procédure nationale, GLAXOSMITHKLINE,1.24
1916_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 comprimé(s),Présentation active,non,30%,20140101,20080101,Procédure nationale, RATIOPHARM (ALLEMAGNE),6.2
1917_train,flacon(s) polyéthylène de 90 comprimé(s),Présentation active,oui,65%,20150101,20090101,Procédure nationale, BIOGARAN,18.63
1918_train,plaquette(s) formée(s) à froid aluminium de 30 comprimé(s),Présentation active,non,65%,20140101,20090101,Procédure nationale, ACTAVIS GROUP PTC (ISLANDE),12.11
1919_train,plaquette(s) thermoformée(s) polyamide PVC-Aluminium de 28 comprimé(s),Présentation active,non,65%,20150101,20140101,Autorisation d'importation parallèle, INTER TRADE PHARMA (ROYAUME UNI),22.12
1920_train,plaquette(s) thermoformée(s) PVC aluminium de 28 gélule(s),Présentation active,oui,65%,20060101,19970101,Procédure nationale, SANDOZ,4.4
1921_train,pilulier(s) polypropylène de 30 comprimé(s),Présentation active,oui,65%,20140101,20140101,Procédure nationale, BIOGARAN,6.36
1922_train,plaquette(s) thermoformée(s) aluminium PVC PVDC de 6 comprimé(s) ( abrogée le 29/12/2011),Présentation abrogée,non,65%,20060101,20060101,Procédure nationale, TEVA SANTE,8.92
1923_train,3 plaquette(s) thermoformée(s) PVC PVDC aluminium de 10 comprimé(s),Présentation active,oui,65%,20020101,20020101,Procédure nationale, LABORATOIRE CCD,2.74
1924_train,plaquette(s) thermoformée(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 8 comprimé(s),Présentation active,non,65%,20150101,20060101,Procédure nationale, EG LABO - LABORATOIRES EUROGENERICS,8.02
1925_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 112 comprimé(s),Présentation active,non,65%,20130101,20090101,Procédure nationale, TEVA SANTE,102.8
1926_train,plaquette(s) thermoformée(s) PVC-Aluminium de 120 comprimé(s),Présentation active,oui,65%,20140101,20140101,Procédure nationale, ARROW GENERIQUES,1.71
1927_train,plaquette(s) thermoformée(s) PVC-aluminium de 60 comprimé(s),Présentation active,oui,65%,20010101,20000101,Procédure centralisée, UCB PHARMA BELGIQUE,44.47
1928_train,plaquette(s) thermoformée(s) aluminium PVC PVDC de 90 gélule(s),Présentation active,oui,65%,20110101,20100101,Procédure nationale, TEVA SANTE,13.45
1929_train,plaquette(s) thermoformée(s) aluminium de 30 comprimé(s),Présentation active,non,65%,20110101,20090101,Procédure décentralisée, QUALIMED (LYON),6.1
1930_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 14 comprimé(s),Présentation active,oui,65%,20080101,20080101,Procédure nationale, BIOGARAN,13.44
1931_train,plaquette(s) thermoformée(s) PVC aluminium de 14  comprimé(s),Présentation active,oui,15%,20000101,19870101,Procédure nationale, SANOFI AVENTIS FRANCE,2.2
1932_train,plaquette(s) thermoformée(s) aluminium de 8  comprimé(s),Présentation active,oui,65%,20050101,19870101,Procédure nationale, SAINT GERMAIN,4.69
1933_train,plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s),Présentation active,oui,65%,20120101,20090101,Procédure de reconnaissance mutuelle, KRKA (SLOVENIE),7.21
1934_train,"1 seringue(s) préremplie(s) en verre de 0,3 ml avec aiguille(s)",Présentation active,oui,65%,20080101,20070101,Procédure centralisée, ROCHE REGISTRATION,260.8
1935_train,plaquette(s) thermoformée(s) PVC aluminium de 90 comprimé(s),Présentation active,oui,65%,20090101,19990101,Procédure nationale, SANDOZ,11.32
1936_train,plaquette(s) thermoformée(s) polypropylène aluminium de 30 comprimé(s),Présentation active,oui,65%,20020101,19930101,Procédure nationale, BAYER HEALTHCARE,7.91
1937_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s),Présentation active,oui,65%,20120101,20120101,Procédure décentralisée, SANDOZ,13.4
1938_train,plaquette(s) thermoformée(s) aluminium de 90 comprimé(s),Présentation active,oui,65%,20120101,20060101,Procédure nationale, BIOGARAN,11.46
1939_train,60 plaquette(s) thermoformée(s) PVC-Aluminium de 1 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure centralisée, ACCORD HEALTHCARE (ROYAUME UNI),65.24
1940_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20120101,20090101,Procédure nationale, ZYDUS FRANCE,6.36
1941_train,plaquette(s) thermoformée(s) aluminium de 30 comprimé(s),Présentation active,oui,65%,20100101,20090101,Procédure nationale, SANOFI AVENTIS FRANCE,6.36
1942_train,1 cartouche(s) polystyrène polypropylène de 60 doses avec inhalateur(s),Présentation active,oui,65%,20070101,20060101,Procédure de reconnaissance mutuelle, MEDA PHARMA (FRANCE),21.97
1943_train,plaquette(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s),Présentation active,non,65%,20140101,20130101,Procédure nationale, MYLAN SAS,8.14
1944_train,1 flacon(s) polyéthylène de 10 ml,Présentation active,oui,30%,19980101,19970101,Procédure nationale, LABORATOIRE CHAUVIN,1.93
1945_train,1 ampoule(s) de 1 ml,Présentation active,non,65%,20110101,19820101,Procédure nationale, MSD FRANCE,0.81
1946_train,plaquette(s) thermoformée(s) PVC-aluminium de 4 comprimé(s),Présentation active,oui,65%,20000101,19990101,Procédure nationale, PFIZER HOLDING FRANCE,7.34
1947_train,pilulier(s) polypropylène de 30 comprimé(s),Présentation active,oui,65%,20100101,20090101,Autorisation d'importation parallèle, PHARMA LAB,6.02
1948_train,plaquette(s) thermoformée(s) PVC-Aluminium de 12 comprimé(s),Présentation active,oui,65%,20040101,20020101,Procédure nationale, ZYDUS FRANCE,11.7
1949_train,1 poche(s) lavement polyéthylène de 400 g,Présentation active,non,65%,20140101,19830101,Procédure nationale, GUERBET,7.42
1950_train,plaquette(s) thermoformée(s) aluminium PVC PVDC de 30 comprimé(s),Présentation active,oui,65%,20080101,20070101,Procédure nationale, EG LABO - LABORATOIRES EUROGENERICS,6.97
1951_train,plaquette(s) PVC-Aluminium de 14 comprimé(s),Présentation active,oui,15%,19990101,19980101,Procédure nationale, MYLAN SAS,1.76
1952_train,plaquette(s) thermoformée(s) PVDC PVC-Aluminium de 12  comprimé(s),Présentation active,oui,65%,20030101,19930101,Procédure nationale, TEVA SANTE,3.05
1953_train,plaquette(s) thermoformée(s) PVC-aluminium de 30  comprimé(s),Présentation active,oui,65%,19730101,19910101,Procédure nationale, LABORATOIRES GERDA,2.07
1954_train,plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s),Présentation active,oui,65%,20070101,20060101,Procédure nationale, BIOGARAN,52.22
1955_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 28 comprimé(s),Présentation active,non,65%,20140101,20110101,Procédure décentralisée, TEVA SANTE,7.55
1956_train,plaquette(s) thermoformée(s) aluminium de 90 gélule(s),Présentation active,oui,65%,20100101,20100101,Procédure nationale, SANOFI AVENTIS FRANCE,17.32
1957_train,pilulier(s) polyéthylène haute densité (PEHD) de 24 comprimé(s),Présentation active,oui,65%,20130101,20080101,Procédure de reconnaissance mutuelle, NORDIC PHARMA,4.8
1958_train,plaquette(s) thermoformée(s) aluminium de 28 comprimé(s),Présentation active,oui,65%,20130101,20110101,Procédure nationale, ZYDUS FRANCE,14.3
1959_train,plaquette(s) thermoformée(s) PVC aluminium de 30 gélule(s),Présentation active,non,65%,20150101,20000101,Procédure nationale, TEVA SANTE,3.79
1960_train,plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s),Présentation active,oui,65%,20130101,19980101,Procédure nationale, SANDOZ,15.29
1961_train,plaquette(s) PVC polyéthylène PVDC aluminium de 60 comprimé(s),Présentation active,oui,65%,20150101,20140101,Procédure décentralisée, ARROW GENERIQUES,65.24
1962_train,1 tube(s) aluminium de 10  g,Présentation active,oui,15%,20030101,20030101,Procédure nationale, RATIOPHARM (ALLEMAGNE),6.4
1963_train,"1 flacon(s) compte-gouttes polyéthylène basse densité (PEBD) de 2,5 ml",Présentation active,oui,65%,20120101,20120101,Procédure décentralisée, SANDOZ,7.18
1964_train,plaquette(s) thermoformée(s) PVC-aluminium de 90 comprimé(s),Présentation active,non,30%,20140101,20000101,Procédure nationale, ZYDUS FRANCE,5.91
1965_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20090101,20080101,Procédure nationale, CRISTERS,1.12
1966_train,1 flacon(s) en verre brun de 40 ml avec mesurette graduée polyéthylène,Présentation active,oui,65%,19670101,19950101,Procédure nationale, SANOFI AVENTIS FRANCE,4.4
1967_train,plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s),Présentation active,non,65%,20140101,19830101,Procédure nationale, RATIOPHARM (ALLEMAGNE),3.0
1968_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s),Présentation active,non,65%,20130101,20100101,Procédure décentralisée, PFIZER HOLDING FRANCE,18.63
1969_train,12 flacon(s) en verre de 500 ml,Présentation active,oui,15%,19770101,19980101,Procédure nationale, BAXTER,8.07
1970_train,plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s),Présentation active,non,65%,20130101,20070101,Procédure nationale, LABORATOIRES ALTER,42.31
1971_train,20 sachet(s)-dose(s) polyester aluminium polyéthylène de 15  ml,Présentation active,oui,30%,19960101,19950101,Procédure nationale, MYLAN SAS,2.33
1972_train,plaquette(s) thermoformée(s) PVC polyéthylène (ACLAR RX) polytrifluorochloroéthylène aluminium de 15 comprimé(s),Présentation active,oui,65%,20070101,20050101,Procédure nationale, SANOFI AVENTIS FRANCE,14.01
1973_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 capsule(s),Présentation active,oui,30%,20100101,20090101,Procédure nationale, MYLAN SAS,20.42
1974_train,plaquette(s) thermoformée(s) PVC-Aluminium de 20  gélule(s),Présentation active,oui,30%,19890101,19870101,Procédure nationale, SERP,6.09
1975_train,1 flacon(s) en verre de 100 ml,Présentation active,oui,65%,19840101,19810101,Procédure nationale, BRACCO IMAGING FRANCE,33.56
1976_train,plaquette(s) PVC-Aluminium de 30 comprimé(s),Présentation active,oui,65%,20000101,20000101,Procédure nationale, BIOGARAN,8.35
1977_train,"1 seringue(s) préremplie(s) en verre de 0,5 ml avec aiguille(s)",Présentation active,oui,65%,20130101,20130101,Procédure centralisée, NOVARTIS VACCINES AND DIAGNOSTICS (ITALIE),88.15
1978_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 60 comprimé(s),Présentation active,non,65%,20140101,20120101,Procédure nationale, LABORATOIRES GERDA,65.24
1979_train,plaquette(s) thermoformée(s) PVDC PVC-Aluminium de 5 comprimé(s),Présentation active,oui,65%,20110101,20100101,Procédure nationale, ZYDUS FRANCE,10.99
1980_train,1 flacon(s) en verre de 3 ml avec pinceau(x) applicateur(s) polyéthylène basse densité (PEBD) nylon,Présentation active,oui,30%,20090101,20080101,Procédure nationale, BIOGARAN,7.14
1981_train,plaquette(s) thermoformée(s) PVC aluminium polyamide de 30 comprimé(s),Présentation active,oui,100%,20050101,20040101,Procédure nationale, ARROW GENERIQUES,7.33
1982_train,1 tube(s) aluminium verni de 30 g,Présentation active,oui,30%,19990101,19980101,Procédure nationale, GALDERMA INTERNATIONAL,5.43
1983_train,plaquette(s) thermoformée(s) polyamide aluminium polyéthylène de 30 comprimé(s),Présentation active,oui,65%,20140101,20130101,Procédure centralisée, KRKA (SLOVENIE),10.61
1984_train,5 flacon(s) en verre brun - 5 ampoule(s) en verre de 2  ml,Présentation active,non,65%,19820101,19880101,Procédure nationale, SANOFI AVENTIS FRANCE,17.68
1985_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 14 comprimé(s),Présentation active,oui,65%,20080101,20070101,Procédure nationale, MYLAN SAS,13.44
1986_train,plaquette(s) PVC PVDC aluminium de 28 comprimé(s),Présentation active,oui,30%,20120101,20120101,Procédure décentralisée, KRKA (SLOVENIE),4.15
1987_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 56 comprimé(s),Présentation active,oui,15%,20130101,20130101,Procédure décentralisée, HCS (BELGIQUE),30.21
1988_train,30 plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 1 comprimé(s),Présentation active,oui,65%,20110101,20100101,Procédure centralisée, BOEHRINGER INGELHEIM INTERNATIONAL,21.53
1989_train,plaquette(s) aluminium polyéthylène PVDC de 30 comprimé(s),Présentation active,oui,65%,20100101,20080101,Procédure nationale, BIOGARAN,6.36
1990_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 28  comprimé(s),Présentation active,non,65%,20130101,20030101,Procédure nationale, RATIOPHARM (ALLEMAGNE),5.91
1991_train,plaquette(s) thermoformée(s) polypropylène aluminium de 270 comprimé(s),Présentation active,non,65%,20070101,19940101,Procédure nationale, BAYER HEALTHCARE,31.84
1992_train,plaquette(s) aluminium de 90 comprimé(s),Présentation active,oui,65%,20130101,20130101,Procédure nationale, EVOLUPHARM,23.71
1993_train,plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s),Présentation active,oui,100%,20140101,20130101,Autorisation d'importation parallèle, BB FARMA (ITALIE),67.95
1994_train,plaquette(s) thermoformée(s) PVC-Aluminium de 7 comprimé(s),Présentation active,oui,65%,20070101,20060101,Procédure nationale, MYLAN SAS,13.58
1995_train,plaquette(s) thermoformée(s) PVC-Aluminium de 12 comprimé(s),Présentation active,oui,65%,20040101,20040101,Procédure nationale, TEVA SANTE,2.04
1996_train,flacon(s) polyéthylène haute densité (PEHD) avec fermeture de sécurité enfant de 112 comprimé(s),Présentation active,oui,65%,20050101,20050101,Procédure nationale, EUSA PHARMA (ROYAUME-UNI),191.38
1997_train,1 tube(s) aluminium verni de 30 g,Présentation active,oui,15%,19920101,19910101,Procédure nationale, BAYER HEALTHCARE,2.35
1998_train,plaquette(s) thermoformée(s) PVC-Aluminium de 30 comprimé(s),Présentation active,oui,65%,20060101,20060101,Procédure nationale, ARROW GENERIQUES,6.58
1999_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,oui,65%,20110101,20060101,Procédure nationale, MYLAN SAS,15.91
2000_train,"1 seringue(s) préremplie(s) en verre de 0,5 ml munie d'un bouchon-piston chlorobromobutyle sans aiguille attachée avec un capuchon tip-cap chlorobromobutyle avec deux aiguiilles séparées",Présentation active,oui,65%,20070101,20020101,Procédure de reconnaissance mutuelle, SANOFI PASTEUR MSD,23.85
2001_train,1 flacon(s) en verre de 5 ml,Présentation active,non,65%,20120101,19980101,Procédure centralisée, SANOFI AVENTIS (ALLEMAGNE),7.84
2002_train,flacon(s) polyéthylène haute densité (PEHD) de 28 gélule(s),Présentation active,oui,65%,20090101,20090101,Procédure nationale, ZYDUS FRANCE,4.43
2003_train,plaquette(s) thermoformée(s) PVC-aluminium de 3 comprimé(s),Présentation active,oui,65%,19940101,19940101,Procédure nationale, BIOCODEX BENELUX (BELGIQUE),12.13
2004_train,2 plaquette(s) thermoformée(s) PVC aluminium de 15  comprimé(s),Présentation active,non,65%,20130101,19960101,Procédure nationale, MSD FRANCE,1.87
2005_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s),Présentation active,oui,65%,20090101,20010101,Procédure de reconnaissance mutuelle, TEVA SANTE,14.86
2006_train,plaquette(s) thermoformée(s) PVC-Aluminium de 7 comprimé(s),Présentation active,oui,65%,20060101,20060101,Procédure nationale, ARROW GENERIQUES,13.58
2007_train,plaquette(s) thermoformée(s) PVC-aluminium de 14 comprimé(s),Présentation active,non,65%,19990101,19980101,Procédure nationale, MYLAN SAS,3.88
2008_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20120101,20120101,Procédure décentralisée, EG LABO - LABORATOIRES EUROGENERICS,6.36
2009_train,film(s) thermosoudé(s) aluminium de 30 comprimé(s),Présentation active,oui,65%,20110101,20070101,Procédure nationale, SANOFI AVENTIS FRANCE,7.14
2010_train,plaquette(s) thermoformée(s) PVC-aluminium de 90 comprimé(s),Présentation active,oui,15%,20030101,19910101,Procédure nationale, MYLAN SAS,14.67
2011_train,plaquette(s) thermoformée(s) aluminium de 90 comprimé(s),Présentation active,oui,65%,20130101,20110101,Procédure décentralisée, SANDOZ,23.71
2012_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20120101,20120101,Procédure décentralisée, EG LABO - LABORATOIRES EUROGENERICS,6.36
2013_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20150101,20110101,Procédure décentralisée, ARROW GENERIQUES,7.99
2014_train,2 seringue(s) préremplie(s) en verre de 1 ml avec 2 tampon(s) alcoolisé(s),Présentation active,oui,65%,20100101,20090101,Procédure centralisée, UCB PHARMA BELGIQUE,812.94
2015_train,plaquette(s) thermoformée(s) aluminium de 90 comprimé(s),Présentation active,oui,65%,20120101,20110101,Procédure décentralisée, ZYDUS FRANCE,23.71
2016_train,plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20090101,20090101,Procédure nationale, TEVA SANTE,2.95
2017_train,plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s),Présentation active,oui,65%,19990101,19980101,Procédure nationale, MYLAN SAS,3.22
2018_train,plaquette(s) thermoformée(s) PVC aluminium de 90 comprimé(s),Présentation active,oui,65%,20100101,19980101,Procédure de reconnaissance mutuelle, MERCK SANTE,14.86
2019_train,plaquette(s) thermoformée(s) transparentes PVC polyéthylène PVDC aluminium de 28  comprimé(s),Présentation active,oui,65%,20090101,20020101,Procédure de reconnaissance mutuelle, LUNDBECK (DANEMARK),17.64
2020_train,plaquette(s) thermoformée(s) aluminium PVC de 12 comprimé(s),Présentation active,oui,65%,20100101,20100101,Procédure nationale, CRISTERS,43.04
2021_train,plaquette(s) formée(s) à froid polyamide aluminium PVC papier polytéréphtalate (PET) de 12 comprimé(s),Présentation active,oui,65%,20120101,20100101,Procédure nationale, LABORATOIRES GERDA,20.15
2022_train,plaquette(s) thermoformée(s) PVC-Aluminium de 20 comprimé(s),Présentation active,oui,65%,20060101,19990101,Procédure nationale, SANDOZ,2.95
2023_train,plaquette(s) thermoformée(s) PVC-aluminium de 60 gélule(s),Présentation active,oui,15%,19810101,19790101,Procédure nationale, BIOCODEX,4.51
2024_train,plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s),Présentation active,oui,65%,20100101,20090101,Procédure de reconnaissance mutuelle, MYLAN SAS,6.36
